Name,Image,Price,PhanLoai,Quan jogger,Quan jean,Quan au,Ao thun nam,Ao khoac,Ao so mi,Ao hoodie
ÁO SOMI M1SMD2041001,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210416/16042021100453_1.jpg, 320000₫,0,0,0,0,0,0,1,0
ÁO THUN U1ATN2041002,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210331/31032021040319_1.jpg, 320000₫,0,0,0,0,1,0,0,0
QUẦN SHORT M1SKK1041001,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210416/16042021120401_1.jpg, 265000₫,1,0,0,0,0,0,0,0
ÁO SOMI M1SMD2031002,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210331/1_thumb.jpg, 285000₫,0,0,0,0,0,0,1,0
QUẦN JOGGER M1QJT4031002,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210331/31032021090327_1.jpg, 195000₫,1,1,0,0,0,0,0,0
ÁO SOMI M1SMD2031001,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210331/31032021090309_1.jpg, 285000₫,0,0,0,0,0,0,1,0
ÁO THUN U1ATN2031002,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210331/31032021090338_1.jpg, 265000₫,0,0,0,0,1,0,0,0
ÁO SOMI M1SMN4031001,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210331/31032021090328_1.jpg, 275000₫,0,0,0,0,0,0,1,0
ÁO THUN U1ATN2031001,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210331/31032021090331_1.jpg, 265000₫,0,0,0,0,1,0,0,0
QUẦN JOGGER M1QJT2031001,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210331/31032021090318_1.jpg, 195000₫,1,1,0,0,0,0,0,0
ÁO SOMI M2SMN3021014,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210301/134202123412_IMG_3736.jpg, 199000₫,0,0,0,0,0,0,1,0
ÁO SOMI M2SMN3021013,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210320/20592021105916_5L7A4655_thumb.jpg, 199000₫,0,0,0,0,0,0,1,0
ÁO SOMI M2SMN3021012,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210301/131202123159_IMG_3732_thumb.jpg, 199000₫,0,0,0,0,0,0,1,0
ÁO SOMI M2SMN3021011,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210301/130202123038_IMG_3729_thumb.jpg, 199000₫,0,0,0,0,0,0,1,0
ÁO SOMI M2SMN3021010,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210301/135202123534_IMG_3738.jpg, 199000₫,0,0,0,0,0,0,1,0
ÁO SOMI M2SMN3021009,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210320/20032021100347_5L7A4653.jpg, 199000₫,0,0,0,0,0,0,1,0
ÁO SOMI M2SMN3021008,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210301/128202122848_IMG_3724_thumb.jpg, 199000₫,0,0,0,0,0,0,1,0
ÁO THUN M2ATN3021004,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210301/126202122621_IMG_3720_thumb.jpg, 245000₫,0,0,0,0,1,0,0,0
ÁO THUN M2ATN3021003,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210301/122202122237_IMG_3714.jpg, 245000₫,0,0,0,0,1,0,0,0
ÁO THUN M2ATN3021002,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210301/124202122422_IMG_3718.jpg, 245000₫,0,0,0,0,1,0,0,0
ÁO THUN M2ATN3021001,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210301/120202122037_IMG_3710.jpg, 245000₫,0,0,0,0,1,0,0,0
ÁO SOMI M1SMD1021001,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210205/542202154225_IMG_3633.jpg, 285000₫,0,0,0,0,0,0,1,0
QUẦN JEAN M1QJN2021005,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210205/545202154557_IMG_3649.jpg, 415000₫,1,0,1,0,0,0,0,0
QUẦN JEAN M1QJN2021004,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210205/547202154746_8224E16B_FC7B_4166_A02F_ECB3FDE02827_thumb.jpg, 415000₫,1,0,1,0,0,0,0,0
QUẦN JEAN M1QJN1021003,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210205/541202154141_IMG_3653.jpg, 425000₫,1,0,1,0,0,0,0,0
ÁO SOMI M2SMN3021007,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210205/517202151726_IMG_3623_thumb.jpg, 199000₫,0,0,0,0,0,0,1,0
ÁO SOMI M2SMN3021006,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210205/535202153519_IMG_3612_thumb.jpg, 199000₫,0,0,0,0,0,0,1,0
ÁO SOMI M2SMN3021005,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210205/532202153248_IMG_3616_thumb.jpg, 199000₫,0,0,0,0,0,0,1,0
ÁO SOMI M2SMN3021004,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20210205/534202153424_IMG_3614_thumb.jpg, 199000₫,0,0,0,0,0,0,1,0
